timestamp;deviceId;tipoDispositivo;ubicacion;nombre;tipoEvento;valor;unidad;estadoPrevio;estadoNuevo;severidad
2026-09-05T02:14:00;cerr-gar-01;CERRADURA;Garaje;Cerradura Garaje;ALERTA;;;;TAMPER;ALTA
2026-09-05T03:22:00;mov-ext-01;SENSOR_MOVIMIENTO;Exterior;Sensor Exterior;ALERTA;;;;MOVIMIENTO;ALTA
2026-09-05T07:00:00;term-liv-01;TERMOSTATO;Living;Termostato Living;MEDICION;22.3;C;;;
2026-09-05T07:00:00;term-dorm-01;TERMOSTATO;Dormitorio;Termostato Dormitorio;MEDICION;18.1;C;;;
2026-09-05T07:05:00;term-liv-01;TERMOSTATO;Living;Termostato Living;MEDICION;126.5;Wh;;;
2026-09-05T07:05:00;term-dorm-01;TERMOSTATO;Dormitorio;Termostato Dormitorio;MEDICION;276.5;Wh;;;
2026-09-05T07:14:00;mov-pas-01;SENSOR_MOVIMIENTO;Pasillo;Sensor Pasillo;ALERTA;;;;MOVIMIENTO;BAJA
2026-09-05T07:54:00;mov-ext-01;SENSOR_MOVIMIENTO;Exterior;Sensor Exterior;ALERTA;;;;MOVIMIENTO;BAJA
2026-09-05T08:00:00;ench-liv-01;ENCHUFE;Living;Enchufe TV;CAMBIO_ESTADO;;;APAGADO;ENCENDIDO;
2026-09-05T08:00:00;ench-coc-01;ENCHUFE;Cocina;Enchufe Microondas;CAMBIO_ESTADO;;;APAGADO;ENCENDIDO;
2026-09-05T08:00:00;ench-of-01;ENCHUFE;Oficina;Enchufe PC;CAMBIO_ESTADO;;;APAGADO;ENCENDIDO;
2026-09-05T08:00:00;cerr-front-01;CERRADURA;Entrada;Cerradura Entrada;CAMBIO_ESTADO;;;TRABADA;DESTRABADA;
2026-09-05T08:00:00;cerr-gar-01;CERRADURA;Garaje;Cerradura Garaje;CAMBIO_ESTADO;;;TRABADA;DESTRABADA;
2026-09-05T08:30:00;cerr-front-01;CERRADURA;Entrada;Cerradura Entrada;CAMBIO_ESTADO;;;DESTRABADA;TRABADA;
2026-09-05T08:30:00;cerr-gar-01;CERRADURA;Garaje;Cerradura Garaje;CAMBIO_ESTADO;;;DESTRABADA;TRABADA;
2026-09-05T09:00:00;ench-liv-01;ENCHUFE;Living;Enchufe TV;MEDICION;44.5;Wh;;;
2026-09-05T09:00:00;ench-coc-01;ENCHUFE;Cocina;Enchufe Microondas;MEDICION;484.9;Wh;;;
2026-09-05T09:00:00;ench-of-01;ENCHUFE;Oficina;Enchufe PC;MEDICION;151.3;Wh;;;
2026-09-05T11:00:00;term-liv-01;TERMOSTATO;Living;Termostato Living;MEDICION;20.8;C;;;
2026-09-05T11:00:00;term-dorm-01;TERMOSTATO;Dormitorio;Termostato Dormitorio;MEDICION;19.4;C;;;
2026-09-05T11:05:00;term-liv-01;TERMOSTATO;Living;Termostato Living;MEDICION;178.0;Wh;;;
2026-09-05T11:05:00;term-dorm-01;TERMOSTATO;Dormitorio;Termostato Dormitorio;MEDICION;306.2;Wh;;;
2026-09-05T12:00:00;ench-liv-01;ENCHUFE;Living;Enchufe TV;MEDICION;157.1;Wh;;;
2026-09-05T12:00:00;ench-coc-01;ENCHUFE;Cocina;Enchufe Microondas;MEDICION;875.9;Wh;;;
2026-09-05T12:00:00;ench-of-01;ENCHUFE;Oficina;Enchufe PC;MEDICION;195.1;Wh;;;
2026-09-05T12:00:00;ap-coc-01;SENSOR_APERTURA;Cocina;Ventana Cocina;CAMBIO_ESTADO;;;CERRADO;ABIERTO;
2026-09-05T12:00:00;ap-gar-01;SENSOR_APERTURA;Garaje;Puerta Garaje;CAMBIO_ESTADO;;;CERRADO;ABIERTO;
2026-09-05T12:40:00;ap-coc-01;SENSOR_APERTURA;Cocina;Ventana Cocina;CAMBIO_ESTADO;;;ABIERTO;CERRADO;
2026-09-05T12:40:00;ap-gar-01;SENSOR_APERTURA;Garaje;Puerta Garaje;CAMBIO_ESTADO;;;ABIERTO;CERRADO;
2026-09-05T15:00:00;term-liv-01;TERMOSTATO;Living;Termostato Living;MEDICION;22.6;C;;;
2026-09-05T15:00:00;term-dorm-01;TERMOSTATO;Dormitorio;Termostato Dormitorio;MEDICION;20.0;C;;;
2026-09-05T15:00:00;ench-liv-01;ENCHUFE;Living;Enchufe TV;MEDICION;120.6;Wh;;;
2026-09-05T15:00:00;ench-coc-01;ENCHUFE;Cocina;Enchufe Microondas;MEDICION;343.8;Wh;;;
2026-09-05T15:00:00;ench-of-01;ENCHUFE;Oficina;Enchufe PC;MEDICION;143.9;Wh;;;
2026-09-05T15:05:00;term-liv-01;TERMOSTATO;Living;Termostato Living;MEDICION;295.9;Wh;;;
2026-09-05T15:05:00;term-dorm-01;TERMOSTATO;Dormitorio;Termostato Dormitorio;MEDICION;229.1;Wh;;;
2026-09-05T18:00:00;luz-ext-01;LUZ;Exterior;Luz Exterior;CAMBIO_ESTADO;;;APAGADA;ENCENDIDA;
2026-09-05T18:00:00;ench-liv-01;ENCHUFE;Living;Enchufe TV;MEDICION;151.1;Wh;;;
2026-09-05T18:00:00;ench-coc-01;ENCHUFE;Cocina;Enchufe Microondas;MEDICION;499.1;Wh;;;
2026-09-05T18:00:00;ench-of-01;ENCHUFE;Oficina;Enchufe PC;MEDICION;166.8;Wh;;;
2026-09-05T19:00:00;luz-liv-01;LUZ;Living;Luz Living;CAMBIO_ESTADO;;;APAGADA;ENCENDIDA;
2026-09-05T19:00:00;cerr-front-01;CERRADURA;Entrada;Cerradura Entrada;CAMBIO_ESTADO;;;TRABADA;DESTRABADA;
2026-09-05T19:00:00;cerr-gar-01;CERRADURA;Garaje;Cerradura Garaje;CAMBIO_ESTADO;;;TRABADA;DESTRABADA;
2026-09-05T19:05:00;luz-ext-01;LUZ;Exterior;Luz Exterior;COMANDO;60;%;;ATENUAR;
2026-09-05T19:20:00;cerr-front-01;CERRADURA;Entrada;Cerradura Entrada;CAMBIO_ESTADO;;;DESTRABADA;TRABADA;
2026-09-05T19:20:00;cerr-gar-01;CERRADURA;Garaje;Cerradura Garaje;CAMBIO_ESTADO;;;DESTRABADA;TRABADA;
2026-09-05T20:00:00;term-liv-01;TERMOSTATO;Living;Termostato Living;MEDICION;23.3;C;;;
2026-09-05T20:00:00;term-dorm-01;TERMOSTATO;Dormitorio;Termostato Dormitorio;MEDICION;19.0;C;;;
2026-09-05T20:00:00;luz-coc-01;LUZ;Cocina;Luz Cocina;CAMBIO_ESTADO;;;APAGADA;ENCENDIDA;
2026-09-05T20:00:00;ap-coc-01;SENSOR_APERTURA;Cocina;Ventana Cocina;CAMBIO_ESTADO;;;CERRADO;ABIERTO;
2026-09-05T20:00:00;ap-gar-01;SENSOR_APERTURA;Garaje;Puerta Garaje;CAMBIO_ESTADO;;;CERRADO;ABIERTO;
2026-09-05T20:05:00;term-liv-01;TERMOSTATO;Living;Termostato Living;MEDICION;142.6;Wh;;;
2026-09-05T20:05:00;term-dorm-01;TERMOSTATO;Dormitorio;Termostato Dormitorio;MEDICION;192.3;Wh;;;
2026-09-05T20:10:00;term-dorm-01;TERMOSTATO;Dormitorio;Termostato Dormitorio;COMANDO;20.0;C;;AJUSTAR_TEMP;
2026-09-05T20:13:00;term-liv-01;TERMOSTATO;Living;Termostato Living;COMANDO;22.5;C;;AJUSTAR_TEMP;
2026-09-05T20:14:00;mov-ext-01;SENSOR_MOVIMIENTO;Exterior;Sensor Exterior;ALERTA;;;;MOVIMIENTO;BAJA
2026-09-05T20:15:00;ap-coc-01;SENSOR_APERTURA;Cocina;Ventana Cocina;CAMBIO_ESTADO;;;ABIERTO;CERRADO;
2026-09-05T20:15:00;ap-gar-01;SENSOR_APERTURA;Garaje;Puerta Garaje;CAMBIO_ESTADO;;;ABIERTO;CERRADO;
2026-09-05T20:49:00;mov-pas-01;SENSOR_MOVIMIENTO;Pasillo;Sensor Pasillo;ALERTA;;;;MOVIMIENTO;BAJA
2026-09-05T21:00:00;term-liv-01;TERMOSTATO;Living;Termostato Living;MEDICION;21.4;C;;;
2026-09-05T21:00:00;term-dorm-01;TERMOSTATO;Dormitorio;Termostato Dormitorio;MEDICION;20.7;C;;;
2026-09-05T21:00:00;ench-liv-01;ENCHUFE;Living;Enchufe TV;MEDICION;139.5;Wh;;;
2026-09-05T21:00:00;ench-coc-01;ENCHUFE;Cocina;Enchufe Microondas;MEDICION;747.3;Wh;;;
2026-09-05T21:00:00;ench-of-01;ENCHUFE;Oficina;Enchufe PC;MEDICION;48.2;Wh;;;
2026-09-05T21:05:00;term-liv-01;TERMOSTATO;Living;Termostato Living;MEDICION;127.7;Wh;;;
2026-09-05T21:05:00;term-dorm-01;TERMOSTATO;Dormitorio;Termostato Dormitorio;MEDICION;317.3;Wh;;;
2026-09-05T21:09:00;luz-coc-01;LUZ;Cocina;Luz Cocina;COMANDO;40;%;;ATENUAR;
2026-09-05T21:18:00;mov-pas-01;SENSOR_MOVIMIENTO;Pasillo;Sensor Pasillo;ALERTA;;;;MOVIMIENTO;BAJA
2026-09-05T21:55:00;mov-ext-01;SENSOR_MOVIMIENTO;Exterior;Sensor Exterior;ALERTA;;;;MOVIMIENTO;BAJA
2026-09-05T22:00:00;luz-coc-01;LUZ;Cocina;Luz Cocina;CAMBIO_ESTADO;;;ENCENDIDA;APAGADA;
2026-09-05T22:00:00;luz-dorm-01;LUZ;Dormitorio;Luz Dormitorio;CAMBIO_ESTADO;;;APAGADA;ENCENDIDA;
2026-09-05T22:05:00;mov-pas-01;SENSOR_MOVIMIENTO;Pasillo;Sensor Pasillo;ALERTA;;;;MOVIMIENTO;BAJA
2026-09-05T22:06:00;mov-ext-01;SENSOR_MOVIMIENTO;Exterior;Sensor Exterior;ALERTA;;;;MOVIMIENTO;BAJA
2026-09-05T23:00:00;luz-liv-01;LUZ;Living;Luz Living;CAMBIO_ESTADO;;;ENCENDIDA;APAGADA;
2026-09-05T23:00:00;luz-dorm-01;LUZ;Dormitorio;Luz Dormitorio;CAMBIO_ESTADO;;;ENCENDIDA;APAGADA;
2026-09-05T23:00:00;luz-ext-01;LUZ;Exterior;Luz Exterior;CAMBIO_ESTADO;;;ENCENDIDA;APAGADA;
2026-09-05T23:00:00;ench-liv-01;ENCHUFE;Living;Enchufe TV;CAMBIO_ESTADO;;;ENCENDIDO;APAGADO;
2026-09-05T23:00:00;ench-coc-01;ENCHUFE;Cocina;Enchufe Microondas;CAMBIO_ESTADO;;;ENCENDIDO;APAGADO;
2026-09-05T23:00:00;ench-of-01;ENCHUFE;Oficina;Enchufe PC;CAMBIO_ESTADO;;;ENCENDIDO;APAGADO;
2026-09-06T03:41:00;cerr-gar-01;CERRADURA;Garaje;Cerradura Garaje;ALERTA;;;;TAMPER;ALTA
2026-09-06T06:30:00;ap-coc-01;SENSOR_APERTURA;Cocina;Ventana Cocina;ALERTA;;;;BATERIA_BAJA;BAJA
2026-09-06T07:00:00;term-liv-01;TERMOSTATO;Living;Termostato Living;MEDICION;21.2;C;;;
2026-09-06T07:00:00;term-dorm-01;TERMOSTATO;Dormitorio;Termostato Dormitorio;MEDICION;20.1;C;;;
2026-09-06T07:05:00;term-liv-01;TERMOSTATO;Living;Termostato Living;MEDICION;237.9;Wh;;;
2026-09-06T07:05:00;term-dorm-01;TERMOSTATO;Dormitorio;Termostato Dormitorio;MEDICION;162.5;Wh;;;
2026-09-06T07:05:00;mov-pas-01;SENSOR_MOVIMIENTO;Pasillo;Sensor Pasillo;ALERTA;;;;MOVIMIENTO;BAJA
2026-09-06T07:07:00;mov-ext-01;SENSOR_MOVIMIENTO;Exterior;Sensor Exterior;ALERTA;;;;MOVIMIENTO;BAJA
2026-09-06T08:00:00;ench-liv-01;ENCHUFE;Living;Enchufe TV;CAMBIO_ESTADO;;;APAGADO;ENCENDIDO;
2026-09-06T08:00:00;ench-coc-01;ENCHUFE;Cocina;Enchufe Microondas;CAMBIO_ESTADO;;;APAGADO;ENCENDIDO;
2026-09-06T08:00:00;ench-of-01;ENCHUFE;Oficina;Enchufe PC;CAMBIO_ESTADO;;;APAGADO;ENCENDIDO;
2026-09-06T08:00:00;cerr-front-01;CERRADURA;Entrada;Cerradura Entrada;CAMBIO_ESTADO;;;TRABADA;DESTRABADA;
2026-09-06T08:00:00;cerr-gar-01;CERRADURA;Garaje;Cerradura Garaje;CAMBIO_ESTADO;;;TRABADA;DESTRABADA;
2026-09-06T08:30:00;cerr-front-01;CERRADURA;Entrada;Cerradura Entrada;CAMBIO_ESTADO;;;DESTRABADA;TRABADA;
2026-09-06T08:30:00;cerr-gar-01;CERRADURA;Garaje;Cerradura Garaje;CAMBIO_ESTADO;;;DESTRABADA;TRABADA;
2026-09-06T09:00:00;ench-liv-01;ENCHUFE;Living;Enchufe TV;MEDICION;77.2;Wh;;;
2026-09-06T09:00:00;ench-coc-01;ENCHUFE;Cocina;Enchufe Microondas;MEDICION;242.1;Wh;;;
2026-09-06T09:00:00;ench-of-01;ENCHUFE;Oficina;Enchufe PC;MEDICION;201.6;Wh;;;
2026-09-06T11:00:00;term-liv-01;TERMOSTATO;Living;Termostato Living;MEDICION;23.0;C;;;
2026-09-06T11:00:00;term-dorm-01;TERMOSTATO;Dormitorio;Termostato Dormitorio;MEDICION;18.7;C;;;
2026-09-06T11:05:00;term-liv-01;TERMOSTATO;Living;Termostato Living;MEDICION;162.3;Wh;;;
2026-09-06T11:05:00;term-dorm-01;TERMOSTATO;Dormitorio;Termostato Dormitorio;MEDICION;377.3;Wh;;;
2026-09-06T12:00:00;ench-liv-01;ENCHUFE;Living;Enchufe TV;MEDICION;128.3;Wh;;;
2026-09-06T12:00:00;ench-coc-01;ENCHUFE;Cocina;Enchufe Microondas;MEDICION;225.7;Wh;;;
2026-09-06T12:00:00;ench-of-01;ENCHUFE;Oficina;Enchufe PC;MEDICION;111.9;Wh;;;
2026-09-06T12:00:00;ap-coc-01;SENSOR_APERTURA;Cocina;Ventana Cocina;CAMBIO_ESTADO;;;CERRADO;ABIERTO;
2026-09-06T12:00:00;ap-gar-01;SENSOR_APERTURA;Garaje;Puerta Garaje;CAMBIO_ESTADO;;;CERRADO;ABIERTO;
2026-09-06T12:40:00;ap-coc-01;SENSOR_APERTURA;Cocina;Ventana Cocina;CAMBIO_ESTADO;;;ABIERTO;CERRADO;
2026-09-06T12:40:00;ap-gar-01;SENSOR_APERTURA;Garaje;Puerta Garaje;CAMBIO_ESTADO;;;ABIERTO;CERRADO;
2026-09-06T15:00:00;term-liv-01;TERMOSTATO;Living;Termostato Living;MEDICION;21.1;C;;;
2026-09-06T15:00:00;term-dorm-01;TERMOSTATO;Dormitorio;Termostato Dormitorio;MEDICION;19.8;C;;;
2026-09-06T15:00:00;ench-liv-01;ENCHUFE;Living;Enchufe TV;MEDICION;89.3;Wh;;;
2026-09-06T15:00:00;ench-coc-01;ENCHUFE;Cocina;Enchufe Microondas;MEDICION;507.4;Wh;;;
2026-09-06T15:00:00;ench-of-01;ENCHUFE;Oficina;Enchufe PC;MEDICION;79.5;Wh;;;
2026-09-06T15:05:00;term-liv-01;TERMOSTATO;Living;Termostato Living;MEDICION;294.2;Wh;;;
2026-09-06T15:05:00;term-dorm-01;TERMOSTATO;Dormitorio;Termostato Dormitorio;MEDICION;264.8;Wh;;;
2026-09-06T18:00:00;luz-ext-01;LUZ;Exterior;Luz Exterior;CAMBIO_ESTADO;;;APAGADA;ENCENDIDA;
2026-09-06T18:00:00;ench-liv-01;ENCHUFE;Living;Enchufe TV;MEDICION;167.2;Wh;;;
2026-09-06T18:00:00;ench-coc-01;ENCHUFE;Cocina;Enchufe Microondas;MEDICION;240.2;Wh;;;
2026-09-06T18:00:00;ench-of-01;ENCHUFE;Oficina;Enchufe PC;MEDICION;219.6;Wh;;;
2026-09-06T19:00:00;luz-liv-01;LUZ;Living;Luz Living;CAMBIO_ESTADO;;;APAGADA;ENCENDIDA;
2026-09-06T19:00:00;cerr-front-01;CERRADURA;Entrada;Cerradura Entrada;CAMBIO_ESTADO;;;TRABADA;DESTRABADA;
2026-09-06T19:00:00;cerr-gar-01;CERRADURA;Garaje;Cerradura Garaje;CAMBIO_ESTADO;;;TRABADA;DESTRABADA;
2026-09-06T19:20:00;cerr-front-01;CERRADURA;Entrada;Cerradura Entrada;CAMBIO_ESTADO;;;DESTRABADA;TRABADA;
2026-09-06T19:20:00;cerr-gar-01;CERRADURA;Garaje;Cerradura Garaje;CAMBIO_ESTADO;;;DESTRABADA;TRABADA;
2026-09-06T20:00:00;term-liv-01;TERMOSTATO;Living;Termostato Living;MEDICION;22.5;C;;;
2026-09-06T20:00:00;term-dorm-01;TERMOSTATO;Dormitorio;Termostato Dormitorio;MEDICION;19.9;C;;;
2026-09-06T20:00:00;luz-coc-01;LUZ;Cocina;Luz Cocina;CAMBIO_ESTADO;;;APAGADA;ENCENDIDA;
2026-09-06T20:00:00;ap-coc-01;SENSOR_APERTURA;Cocina;Ventana Cocina;CAMBIO_ESTADO;;;CERRADO;ABIERTO;
2026-09-06T20:00:00;ap-gar-01;SENSOR_APERTURA;Garaje;Puerta Garaje;CAMBIO_ESTADO;;;CERRADO;ABIERTO;
2026-09-06T20:02:00;term-dorm-01;TERMOSTATO;Dormitorio;Termostato Dormitorio;COMANDO;20.0;C;;AJUSTAR_TEMP;
2026-09-06T20:05:00;term-liv-01;TERMOSTATO;Living;Termostato Living;MEDICION;297.7;Wh;;;
2026-09-06T20:05:00;term-dorm-01;TERMOSTATO;Dormitorio;Termostato Dormitorio;MEDICION;339.1;Wh;;;
2026-09-06T20:09:00;mov-ext-01;SENSOR_MOVIMIENTO;Exterior;Sensor Exterior;ALERTA;;;;MOVIMIENTO;BAJA
2026-09-06T20:15:00;ap-coc-01;SENSOR_APERTURA;Cocina;Ventana Cocina;CAMBIO_ESTADO;;;ABIERTO;CERRADO;
2026-09-06T20:15:00;ap-gar-01;SENSOR_APERTURA;Garaje;Puerta Garaje;CAMBIO_ESTADO;;;ABIERTO;CERRADO;
2026-09-06T20:34:00;term-liv-01;TERMOSTATO;Living;Termostato Living;COMANDO;22.5;C;;AJUSTAR_TEMP;
2026-09-06T20:48:00;mov-pas-01;SENSOR_MOVIMIENTO;Pasillo;Sensor Pasillo;ALERTA;;;;MOVIMIENTO;BAJA
2026-09-06T21:00:00;term-liv-01;TERMOSTATO;Living;Termostato Living;MEDICION;20.0;C;;;
2026-09-06T21:00:00;term-dorm-01;TERMOSTATO;Dormitorio;Termostato Dormitorio;MEDICION;20.3;C;;;
2026-09-06T21:00:00;ench-liv-01;ENCHUFE;Living;Enchufe TV;MEDICION;98.8;Wh;;;
2026-09-06T21:00:00;ench-coc-01;ENCHUFE;Cocina;Enchufe Microondas;MEDICION;528.2;Wh;;;
2026-09-06T21:00:00;ench-of-01;ENCHUFE;Oficina;Enchufe PC;MEDICION;131.7;Wh;;;
